cmt,rate,genre,idmovie,iduser 
Cảnh rượt đuổi xe hơi trong phim thật sôi động và hồi hộp,4,1,1,25
Phim hành động này thực sự cho thấy sức mạnh và lòng kiên trì của nhân vật chính,4,1,41,20
Phim hành động này thực sự khiến tôi ngồi trên ghế từ đầu đến cuối,4,1,53,32
Các pha hành động trong phim thật sự gây ấn tượng mạnh,3,1,113,12
Cảnh rượt đuổi trong phim thật sự hồi hộp và gay cấn,4,1,49,45
Những pha hành động trong phim đã được thực hiện một cách chuyên nghiệp,2,1,120,40
Phim có nhiều cảnh quay hành động ở các địa điểm đẹp mắt,4,1,39,11
Tôi thích cách phim khám phá nhân vật chính qua các pha hành động,4,1,96,40
Những màn rượt đuổi trong phim thật sự gay cấn,4,1,89,24
Tôi thích cách diễn viên chính thể hiện sự dũng cảm qua các pha hành động,4,1,91,12
Những cảnh quay hành động ở các địa điểm xa xôi đã tạo nên sự lôi cuốn của phim,5,1,58,4
Âm thanh trong các pha hành động đã tạo nên không khí căng thẳng cho phim,2,1,38,7
Những màn rượt đuổi xe hơi trong phim thật sự ấn tượng,2,1,70,23
Phim có nhiều cảnh quay hành động lôi cuốn và hấp dẫn,4,1,82,45
Tôi thích cách nhân vật chính vượt qua khó khăn trong các pha hành động,5,1,64,41
Những cảnh quay hành động dưới nước trong phim thật sự ấn tượng,2,1,55,33
Diễn viên chính đã thực hiện các màn đánh nhau một cách tuyệt vời,3,1,33,43
"Cốt truyện phim hấp dẫn, không thể dự đoán được",3,1,116,30
Phim có nhiều pha hành động nghẹt thở,2,1,44,30
Những màn rượt đuổi tốc độ cao khiến tôi không thể rời mắt,4,1,91,30
Những trận chiến trong phim thật mãn nhãn,2,1,110,15
Tôi thích cách diễn viên chính chiến đấu với kẻ xấu,5,1,36,22
Tôi thích cách diễn viên chính sử dụng các loại vũ khí,4,1,118,12
Những pha hành động trong phim thật sự ấn tượng,2,1,50,30
Cảnh quay hành động trong phim rất chân thực,3,1,99,40
Phim có nhiều màn đấu võ đẹp mắt,3,1,88,29
Phim hành động này thực sự đỉnh cao về mức độ hồi hộp và hành động,5,1,103,30
Những màn biểu diễn võ thuật trong phim đã được biên đạo một cách tuyệt vời,5,1,38,48
Các pha chiến đấu trong phim thật mãn nhãn và chân thực,5,1,79,29
Các pha hành động trong phim đã được biên đạo một cách tinh tế và sáng tạo,3,1,70,19
Phim có nhiều cảnh quay hành động sôi động và mãn nhãn,4,1,55,49
Tôi đã cảm thấy áp lực từ các màn đấu súng kịch tính,2,1,50,23
Phim này có nhiều tình tiết tràn đầy hành động không chút dư thừa,4,1,102,38
