cmt,rate,genre,idmovie,iduser 
cảnh rượt đuổi xe hơi sôi động hồi hộp,4,1,1,25
hành động thực sức kiên trì nhân vật,4,1,41,20
hành động thực ghế đầu,4,1,53,32
pha hành động ấn tượng,3,1,113,12
cảnh rượt đuổi hồi hộp gay cấn,4,1,49,45
pha hành động thực hiện chuyên nghiệp,2,1,120,40
cảnh hành động địa đẹp mắt,4,1,39,11
khám phá nhân vật pha hành động,4,1,96,40
màn rượt đuổi gay cấn,4,1,89,24
diễn viên thể hiện dũng cảm pha hành động,4,1,91,12
cảnh hành động địa xôi lôi,5,1,58,4
âm pha hành động khí căng thẳng,2,1,38,7
màn rượt đuổi xe hơi ấn tượng,2,1,70,23
cảnh hành động lôi hấp,4,1,82,45
nhân vật khăn pha hành động,5,1,64,41
cảnh hành động ấn tượng,2,1,55,33
diễn viên thực hiện màn đánh tuyệt vời,3,1,33,43
"cốt truyện hấp dẫn, thể dự đoán",3,1,116,30
pha hành động nghẹt thở,2,1,44,30
màn rượt đuổi tốc độ thể rời mắt,4,1,91,30
trận chiến mãn nhãn,2,1,110,15
diễn viên chiến đấu kẻ xấu,5,1,36,22
diễn viên sử dụng vũ khí,4,1,118,12
pha hành động ấn tượng,2,1,50,30
cảnh hành động chân thực,3,1,99,40
màn đấu võ đẹp mắt,3,1,88,29
hành động thực đỉnh độ hồi hộp hành động,5,1,103,30
màn biểu diễn võ thuật biên đạo tuyệt vời,5,1,38,48
pha chiến đấu mãn nhãn chân thực,5,1,79,29
pha hành động biên đạo tinh tế,3,1,70,19
cảnh hành động sôi động mãn nhãn,4,1,55,49
cảm áp lực màn đấu súng kịch,2,1,50,23
tình tiết tràn hành động chút dư thừa,4,1,102,38
thể hiện hùng nhân vật màn đấu võ,5,1,44,32
hành động nghị lực,4,1,66,25
nhân vật trải thay đổi màn hành động,3,1,84,25
pha chiến đấu vũ khí cực kỳ ấn tượng,3,1,101,42
hút giới hành động phút đầu tiên,4,1,78,5
trải nghiệm hành động thú vị,2,1,40,7
pha hành động đỉnh,2,1,86,25
tình tiết bất ngờ đầu,4,1,55,11
tình huống căng thẳng khăn nhân vật,2,1,94,46
cảnh rượt đuổi xe hơi sôi động hồi hộp,3,1,65,21
nhân vật mẽ quyết tâm,3,1,70,21
diễn viên thực thể hiện mẽ quyết đoán,4,1,59,25
"pha hành động gay cấn, thể rời mắt",4,1,67,19
hiệu ứng đặc biệt ấn tượng,2,1,38,47
cốt truyện hành động lôi bất ngờ,3,1,101,30
pha nổ bắn súng thực hiện chuyên nghiệp,3,1,33,50
