cmt,rate,genre,idmovie,iduser 
Các pha hành động trong phim thật sự gây ấn tượng mạnh,3,3,113,12
Những pha hành động trong phim đã được thực hiện một cách chuyên nghiệp,2,3,120,40
Tôi thích cách phim khám phá nhân vật chính qua các pha hành động,4,3,96,40
Những màn rượt đuổi trong phim thật sự gay cấn,4,3,89,24
Tôi thích cách diễn viên chính thể hiện sự dũng cảm qua các pha hành động,4,3,91,12
Những màn rượt đuổi xe hơi trong phim thật sự ấn tượng,2,3,70,23
Phim có nhiều cảnh quay hành động lôi cuốn và hấp dẫn,4,3,82,45
Tôi thích cách nhân vật chính vượt qua khó khăn trong các pha hành động,5,3,64,41
"Cốt truyện phim hấp dẫn, không thể dự đoán được",3,3,116,30
Những màn rượt đuổi tốc độ cao khiến tôi không thể rời mắt,4,3,91,30
Những trận chiến trong phim thật mãn nhãn,2,3,110,15
Tôi thích cách diễn viên chính sử dụng các loại vũ khí,4,3,118,12
Cảnh quay hành động trong phim rất chân thực,3,3,99,40
Phim có nhiều màn đấu võ đẹp mắt,3,3,88,29
Phim hành động này thực sự đỉnh cao về mức độ hồi hộp và hành động,5,3,103,30
Các pha chiến đấu trong phim thật mãn nhãn và chân thực,5,3,79,29
Các pha hành động trong phim đã được biên đạo một cách tinh tế và sáng tạo,3,3,70,19
Phim này có nhiều tình tiết tràn đầy hành động không chút dư thừa,4,3,102,38
Hành động trong phim này thật sự đầy nghị lực,4,3,66,25
Nhân vật chính trong phim đã trải qua một sự thay đổi lớn qua các màn hành động,3,3,84,25
Phim này có những pha chiến đấu bằng vũ khí cực kỳ ấn tượng,3,3,101,42
Tôi đã bị cuốn hút vào thế giới hành động của phim ngay từ phút đầu tiên,4,3,78,5
Những pha hành động đỉnh cao đã làm tôi thốt lên,2,3,86,25
Tôi thích cách phim này tạo ra các tình huống căng thẳng và khó khăn cho nhân vật chính,2,3,94,46
Cảnh rượt đuổi xe hơi trong phim thật sôi động và hồi hộp,3,3,65,21
Các nhân vật trong phim thật sự mạnh mẽ và quyết tâm,3,3,70,21
"Phim có nhiều pha hành động gay cấn, khiến người xem không thể rời mắt",4,3,67,19
Cốt truyện phim hành động này thật sự lôi cuốn và đầy bất ngờ,3,3,101,30
Diễn viên chính đã thực hiện các pha hành động một cách điêu luyện,3,3,87,20
Phim có nhiều cảnh quay hành động ở các địa điểm ngoạn mục,5,3,74,4
Phim hành động này thực sự cho thấy sức mạnh của nhân vật chính,2,3,63,50
