cmt,rate,genre,idmovie,iduser 
Cảnh rượt đuổi xe hơi trong phim thật sôi động và hồi hộp,4,1,1,25
Đối đầu giữa các nhân vật là điểm đặc biệt của phim,2,1,22,31
Tôi thích cách phim này thể hiện sự dũng cảm và sự hy sinh,5,1,22,25
Phim này có nhiều màn rượt đuổi hồi hộp,3,1,22,47
Hành động là yếu tố quyết định thành công của phim này,5,1,21,43
Tôi không thể nào quên được cảnh đua xe trong phim,3,1,21,48
Những màn đánh đấm đầy sức mạnh và uy lực,2,1,21,20
Nhân vật chính có một phong cách hành động rất riêng,2,1,21,4
Các cảnh hành động là điểm mạnh của phim,2,1,20,42
Tôi thấy mình thở dốc suốt thời gian xem phim này,2,1,20,31
Đánh đấm và bắn súng không bao giờ dừng lại trong phim,5,1,20,33
Phim này có một câu chuyện hấp dẫn để đi kèm với hành động,3,1,20,45
Hành động và chiến đấu thật đáng kinh ngạc,5,1,19,46
Tôi yêu cầu diễn viên chính đã thực hiện các pha hành động khó tin trong phim này,2,1,19,14
Nhân vật chính là một người hùng không bao giờ bỏ cuộc,4,1,19,14
Tôi thích cách phim này tạo nên một thế giới hành động riêng biệt,2,1,19,9
Phim này có nhiều tình tiết gây cấn và không ngừng,3,1,18,22
Tôi không thể rời mắt khỏi màn hình suốt thời gian xem phim,2,1,18,36
Nhân vật chính trong phim thật là một người hùng không bao giờ đắn đo,2,1,18,36
Các pha đánh đấm và bắn súng đỉnh điểm trong phim,2,1,17,7
"Nhạc nền thú vị, thêm phần hấp dẫn vào phim",5,1,17,46
Tôi thích cách phim này kết hợp hành động và kịch tính,2,1,17,17
Hiệu ứng hình ảnh trong phim đỉnh cao,3,1,17,44
Phim này có nhiều màn truy đuổi hồi hộp,3,1,16,46
Cảnh đánh đấm trong phim này rất mãn nhãn,5,1,16,9
Phim này đã thực sự nâng tầm thể loại phim hành động,4,1,16,45
Phim này có sự kết hợp hoàn hảo giữa hành động và cảm xúc,5,1,16,41
Phim này có một bí ẩn hấp dẫn đằng sau các màn đánh đấm,5,1,22,27
Tôi đã tự hỏi làm thế nào họ thực hiện các cảnh quay nguy hiểm đó,5,1,15,29
Tôi thích cách phim này sử dụng môi trường để tạo ra các cảnh hành động độc đáo,3,1,23,49
Nhân vật chính thật sự xuất sắc trong các màn đánh đấm,3,1,23,17
Hành động trong phim này thật sự đầy nghị lực,4,1,29,15
Nhân vật chính trong phim đã trải qua một sự thay đổi lớn qua các màn hành động,3,1,29,43
Phim này có những pha chiến đấu bằng vũ khí cực kỳ ấn tượng,5,1,29,8
Tôi đã bị cuốn hút vào thế giới hành động của phim ngay từ phút đầu tiên,5,1,29,5
Phim này thật sự là một trải nghiệm hành động thú vị,3,1,28,35
Những pha hành động đỉnh cao đã làm tôi thốt lên,2,1,28,30
Phim này có nhiều tình tiết bất ngờ và quay đầu,3,1,28,43
Tôi thích cách phim này tạo ra các tình huống căng thẳng và khó khăn cho nhân vật chính,5,1,28,42
Cảnh chiến đấu trong phim rất chất lượng và kịch tính,2,1,27,11
Phim này có những màn rượt đuổi đầy kịch tính và gây áp lực,2,1,27,38
Những pha hành động đã làm tôi không thể rời mắt khỏi màn hình,2,1,27,7
Phim này thật sự là một cuộc phiêu lưu hành động không ngừng,3,1,27,40
Phim này có một bí ẩn hấp dẫn và khám phá,5,1,26,28
Tôi đã không thể nhận biết được đâu là diễn viên và đâu là đo stunt double trong các cảnh hành động,4,1,26,36
Nhân vật chính có một phong cách hành động độc đáo và thú vị,5,1,26,18
Các cảnh hành động là điểm nổi bật của phim,2,1,26,38
Tôi đã bị cuốn hút vào thế giới hành động của phim ngay từ phút đầu tiên,3,1,25,20
Tôi không thể nào quên được cảnh đánh nhau trong phim,4,1,25,22
Những pha hành động đỉnh cao đã làm tôi nắm chặt ghế,3,1,25,1
Tôi thích cách phim này tạo ra các tình huống căng thẳng,5,1,25,23
Cảnh chiến đấu trong phim rất sống động và chân thực,5,1,24,38
Tôi đã bị cuốn hút vào thế giới hành động của phim,4,1,24,29
Những màn hành động đã làm tôi rung động từ đầu đến cuối,3,1,24,23
Phim này thật sự là một cuộc phiêu lưu đầy máu và mồ hôi,5,1,24,49
Tôi đã không thở suốt cả màn đua xe trong phim,3,1,23,24
Phim này có một thế giới hành động đa dạng và phong phú,3,1,23,17
Cảnh quay trên cao trong phim này thật sự ngoạn mục,3,1,15,23
Hành động ở phim này thậm chí còn hơn cả mong đợi của tôi,2,1,18,5
