cmt,rate,genre,idmovie,iduser 
Phim hành động này thực sự cho thấy sức mạnh và lòng kiên trì của nhân vật chính,4,2,41,20
Phim hành động này thực sự khiến tôi ngồi trên ghế từ đầu đến cuối,4,2,53,32
Cảnh rượt đuổi trong phim thật sự hồi hộp và gay cấn,4,2,49,45
Phim có nhiều cảnh quay hành động ở các địa điểm đẹp mắt,4,2,39,11
Những cảnh quay hành động ở các địa điểm xa xôi đã tạo nên sự lôi cuốn của phim,5,2,58,4
Âm thanh trong các pha hành động đã tạo nên không khí căng thẳng cho phim,2,2,38,7
Những cảnh quay hành động dưới nước trong phim thật sự ấn tượng,2,2,55,33
Diễn viên chính đã thực hiện các màn đánh nhau một cách tuyệt vời,3,2,33,43
Phim có nhiều pha hành động nghẹt thở,2,2,44,30
Tôi thích cách diễn viên chính chiến đấu với kẻ xấu,5,2,36,22
Những pha hành động trong phim thật sự ấn tượng,2,2,50,30
Những màn biểu diễn võ thuật trong phim đã được biên đạo một cách tuyệt vời,5,2,38,48
Phim có nhiều cảnh quay hành động sôi động và mãn nhãn,4,2,55,49
Tôi đã cảm thấy áp lực từ các màn đấu súng kịch tính,2,2,50,23
Phim này đã thể hiện sự hùng mạnh của nhân vật chính qua các màn đấu võ,5,2,44,32
Phim này thật sự là một trải nghiệm hành động thú vị,2,2,40,7
Phim này có nhiều tình tiết bất ngờ và quay đầu,4,2,55,11
Diễn viên chính thực sự thể hiện sự mạnh mẽ và quyết đoán,4,2,59,25
Các hiệu ứng đặc biệt trong phim thật ấn tượng,2,2,38,47
Những pha nổ và bắn súng trong phim đã được thực hiện chuyên nghiệp,3,2,33,50
"Phim có nhiều cảnh quay hành động đẹp mắt, tạo ra một không khí căng thẳng",2,2,46,41
Các diễn viên đã thực hiện các pha hành động một cách chuyên nghiệp và tự nhiên,5,2,40,15
Các hiệu ứng âm thanh trong các cảnh hành động đã được thực hiện rất tốt,4,2,33,50
Các màn đấu võ trong phim đã được biên đạo một cách tuyệt vời,4,2,34,43
Tôi đã không thở khi xem cảnh đua xe trong phim này!,2,2,40,21
"Không thể tin nổi vào cái kết của phim, đầy sự quay đầu bất ngờ",3,2,56,33
Tôi không thể nào quên được cảnh đua xe trong phim,3,2,39,33
Hành động là yếu tố quyết định thành công của phim này,2,2,57,16
Phim này có nhiều màn rượt đuổi hồi hộp,3,2,55,5
Đối đầu giữa các nhân vật là điểm đặc biệt của phim,5,2,43,22
