Film name,comment
10 Things I Hate About You,Tôi đã cảm nhận sâu sắc tình yêu trong phim này. Câu chuyện tình yêu trong phim thật sự đặc biệt.
After ,Phim tình cảm hoàn hảo cho mùa Valentine. Phim này có câu chuyện tình yêu rất đẹp.
500 Days of Summer,Một bộ phim tình cảm đầy cảm động và thú vị. Tình cảm trong phim thật sâu sắc và đáng nhớ.
Aashiqui,Hãy xem và bạn sẽ tin vào tình yêu. Những tình huống tình cảm trong phim khiến tôi suy tư nhiều.
Aashiqui 2,Một phim tình cảm không thể bỏ lỡ. Không thể nào quên được câu chuyện tình yêu này.
About Time,Cốt truyện phim đã chạm vào sâu trong trái tim tôi. Tôi đã gặp một bộ phim tình cảm không thể quên.
Across the Universe,Tôi đã xem lại phim này hàng chục lần. Phim tình cảm này thực sự đáng xem lặp đi lặp lại.
An Affair to Remember,Phim này đã thúc đẩy tôi tìm kiếm tình yêu đích thực. Tình yêu là một điều kỳ diệu và phim này đã nắm bắt được điều đó.
The Age of Adaline,Tình yêu trong phim này làm tôi tin vào tình yêu vĩnh cửu. Phim này đã thúc đẩy tôi tìm kiếm tình yêu đích thực.
The Age of Innocence,Phim tình cảm hoàn hảo cho buổi tối cuối tuần. Phim này đặt ra nhiều câu hỏi về tình yêu và cuộc sống.
All That Heaven Allows,Tình yêu là một điều kỳ diệu và phim này đã nắm bắt được điều đó. Phim tình cảm này đúng là món quà cho người yêu phim.
Amelie,Hãy xem và bạn sẽ biết tại sao phim này được đánh giá cao. Diễn viên đã thể hiện tình cảm một cách xuất sắc.
Angel Eyes,Phim tình cảm đáng xem lặp đi lặp lại. Không thể nào tả hết sự cảm động của phim này.
Annie Hall,Tôi không thể đợi để chia sẻ về phim này với bạn bè. Nó đã làm cho tôi nhớ về những khoảnh khắc tình yêu đẹp đẽ.
An Officer and a Gentleman,Tôi đã xem lại nhiều lần và vẫn yêu nó như lần đầu. Tôi đã xem phim này mỗi khi tôi cảm thấy buồn.
The Anonymous Venetian,Các diễn viên đã tạo nên một cặp đôi hoàn hảo. Tôi đã xem lại phim này hàng chục lần.
The Artist,Phim này thể hiện rằng tình yêu có thể xuất phát từ những tình huống bất ngờ. Không gì so sánh được với tình yêu trong phim này.
